Cust_id,average_shop_spend,recent_purchase,recent_purchase_item_number,discount accumulated ,months_since_last_transaction
885,67.5,67.5,1,7.5,5
886,18.71,154.5,13,0,1
887,18.75,530,30,480,2
888,18.5,37,2,37,5
889,7.29,72.9,10,332.1,5
892,24.6,144,6,0,3
893,41.5,332,8,332,5
894,100,100,1,0,9
895,7,35,5,140,2
897,52,104,2,0,2
898,27.32,81.95,3,0,6
899,3,15,5,0,2
901,11.33,102,9,126,2
902,16.65,33.3,2,40.7,5
903,86.25,172.5,2,57.5,5
904,19.6,98,5,0,12
905,19.51,163.51,10,230.49,1
906,17.37,173.7,10,212.3,2
907,51,51,1,0,9
908,10.8,21.6,2,2.4,9
909,15.78,63.1,4,64.9,6
910,51,102,2,18,6
911,75,75,1,0,7
913,16.88,67.5,4,232.5,1
914,30,329.96,11,109.99,2
915,16.49,511.2,31,659.8,1
916,3.97,15.9,4,143.06,1
919,38.5,241,8,15,4
920,16.65,33.3,2,40.7,8
922,21,21,1,0,4
924,10.5,63,6,63,9
925,11.36,351.23,33,787.78,2
926,10.5,63,6,63,4
928,9.67,29,3,46,5
929,9.9,229.5,18,280.5,8
931,17.27,761.5,47,1514.5,4
932,13.17,113.85,6,90.15,8
933,37.05,1704.4,53,1610.4,1
934,3.38,3.38,1,1.63,10
936,3,15,5,0,5
937,37.1,185.5,5,0,11
938,27.25,54.5,2,19.5,10
939,13.75,27.5,2,0,12
940,17.66,141.3,8,172.7,7
941,19.14,524.7,29,511.21,1
942,18.39,273.3,30,205.5,1
943,17.29,404.5,32,610.5,3
944,9.61,521.23,58,489.67,2
945,12.11,195,18,321,3
946,41.51,649.35,20,72.15,5
947,40.2,285,9,83,1
948,37.35,37.35,1,45.65,3
950,18.75,75,4,225,7
952,12.38,247.5,20,852.5,5
953,20.71,20.71,1,0.29,3
954,37,37,1,0,1
956,20.34,1098.46,54,712.14,1
957,37.67,37.67,1,1.33,6
959,22.5,22.5,1,2.5,3
960,14.4,491.67,34,414.88,1
961,60,60,1,0,5
962,11.37,45.48,4,38.52,8
963,10.4,125,15,500,2
964,26.68,650.66,23,205.99,1
967,49,98,2,37,1
968,35,70,2,0,6
969,83,83,1,0,3
970,20.33,61,3,0,2
971,21,42,2,0,8
972,19.5,117,6,243,2
974,37,37,1,0,4
975,15,60,4,180,4
976,9,9,1,0,8
978,39,222.5,6,0,10
979,21.11,144.5,8,70.5,1
980,12.5,75,6,375,7
981,25.73,181.2,9,22.5,2
982,13.5,27,2,3,4
983,45.64,45.64,1,-0.96,11
984,34.88,174.4,5,8.6,7
985,18.68,74.7,4,257.3,1
986,6.5,6.5,1,0,11
988,45.9,45.9,1,5.1,3
989,41.34,364.35,10,89.15,3
991,50.01,100.02,2,13.98,2
992,16.83,542.7,38,1395.3,2
993,18.91,2335.56,116,7343.5,2
994,36.56,364.7,11,202.25,1
996,31.63,502.84,16,1.66,4
997,27.47,164.8,6,247.2,2
998,13.48,26.96,2,3,1
1000,15.75,307.8,17,42.2,2
1002,22.1,88.4,4,119.6,1
1003,25,25,1,0,5
1004,3.47,6.94,2,6.06,12
1005,37.5,37.5,1,37.5,12
1006,41.5,41.5,1,41.5,12
